Pseudo-Label Method, 1. Buildings, 2. Manmade Structures, 3. Road, 4. Track, 5. Trees, 6. Crops, 7. Waterway, 8. Standing Water, 9. Vehicle Large, 10. Vehicle Small, Mean IOU
No Pseudo Label, 0.0914536, 0.0266212, 0.1889631, 0.0464232, 0.3700810, 0.5603790, 0.2982694, 0.1263752, 0.0000214, 0.0004233, 0.1709010
Pseudo Label, 0.1333374, 0.0142706, 0.2080132, 0.0336234, 0.2647502, 0.4087420, 0.2304604, 0.0667292, 0.0000025, 0.0013614, 0.1361290
Balanced Pseudo Label, 0.2055531, 0.0133703, 0.2689811, 0.0327121, 0.2931964, 0.5124154, 0.1808297, 0.0836999, 0.0000002, 0.0008897, 0.1591648
Teacher-Student Paradigm, 0.2517060, 0.0524265, 0.4458724, 0.0659512, 0.3347352, 0.6035575, 0.3623762, 0.2251231, 0.0000021, 0.0000548, 0.2341805
Balanced Teacher-Student, 0.1640979, 0.0247600, 0.1982181, 0.0428519, 0.3372403, 0.4596679, 0.2292990, 0.1075817, 0.0000264, 0.0001564, 0.1563900

Pseudo-Label Method, 1. Buildings, 2. Manmade Structures, 3. Road, 4. Track, 5. Trees, 6. Crops, 7. Waterway, 8. Standing Water, 9. Vehicle Large, 10. Vehicle Small, Mean IOU
No Pseudo Label, 0.3497400, 0.0391763, 0.3827505, 0.0558828, 0.2596717, 0.6780757, 0.4123495, 0.2741393, 0.0013328, 0.0016578, 0.2454777
Pseudo Label, 0.4103458, 0.0448512, 0.3926868, 0.0535245, 0.2671706, 0.6630294, 0.3982784, 0.2258216, 0.0034768, 0.0046287, 0.2463814
Balanced Pseudo Label, 0.3638115, 0.0380119, 0.3701099, 0.0412840, 0.2812678, 0.6062058, 0.3793337, 0.2279784, 0.0010093, 0.0037699, 0.2312782
Teacher-Student Paradigm, 0.4151416, 0.0503218, 0.3936345, 0.0597892, 0.2533483, 0.6880171, 0.3963778, 0.2614679, 0.0042641, 0.0011615, 0.2523524
Balanced Teacher-Student, 0.3819141, 0.0380380, 0.3562634, 0.0493260, 0.2596046, 0.6190260, 0.3722242, 0.1988672, 0.0002693, 0.0038294, 0.2279362

Pseudo-Label Method, 1. Buildings, 2. Manmade Structures, 3. Road, 4. Track, 5. Trees, 6. Crops, 7. Waterway, 8. Standing Water, 9. Vehicle Large, 10. Vehicle Small, Mean IOU
No Pseudo Label, 0.0703728, 0.0226794, 0.2228788, 0.0825699, 0.2797845, 0.6364706, 0.3047077, 0.1243059, 0.0000008, 0.0000249, 0.1743795
Pseudo Label, 0.2842490, 0.0338031, 0.3944441, 0.0471401, 0.2605804, 0.4934781, 0.4765123, 0.0998321, 0.0000249, 0.0010124, 0.2091077
Balanced Pseudo Label, 0.2874461, 0.0328836, 0.3550376, 0.0364992, 0.2542646, 0.4594523, 0.3264604, 0.1177696, 0.0002019, 0.0015155, 0.1871531
Teacher-Student Paradigm, 0.3207413, 0.0405741, 0.3548445, 0.0712806, 0.2548255, 0.6048725, 0.4553360, 0.2036142, 0.0000158, 0.0084585, 0.2314563
Balanced Teacher-Student, 0.2552860, 0.0325691, 0.3152330, 0.0658389, 0.2601433, 0.5804452, 0.3687994, 0.1336573, 0.0000316, 0.0002144, 0.2012219

Pseudo-Label Method, 1. Buildings, 2. Manmade Structures, 3. Road, 4. Track, 5. Trees, 6. Crops, 7. Waterway, 8. Standing Water, 9. Vehicle Large, 10. Vehicle Small, Mean IOU
No Pseudo Label, 0.1644606, 0.0290053, 0.2285901, 0.0723870, 0.2471972, 0.5572568, 0.2896602, 0.2675000, 0.0024786, 0.0049313, 0.1863467
Pseudo Label, 0.3032174, 0.0401861, 0.3649967, 0.0514669, 0.2516318, 0.5176333, 0.4566408, 0.2421462, 0.0000057, 0.0003626, 0.2228288
Balanced Pseudo Label, 0.1536299, 0.0178203, 0.1596308, 0.0314346, 0.2566505, 0.4672880, 0.2819160, 0.1157555, 0.0000944, 0.0001223, 0.1484342
Teacher-Student Paradigm, 0.2012700, 0.0310585, 0.3028641, 0.0529033, 0.2624464, 0.5547530, 0.3221974, 0.1654281, 0.0000267, 0.0010745, 0.1894022
Balanced Teacher-Student, 0.0895041, 0.0173756, 0.1683035, 0.0442861, 0.2442768, 0.5459809, 0.2364196, 0.1260501, 0.0002525, 0.0001753, 0.1472624
